Nr	Name	No_of_Customers	No_of_Items	Time_Windows
1	0001_BED-Amazon_n165_m287_bt30	165	287	0
2	0002_BED-Amazon_n98_m163_bt28	98	163	0
3	0003_BED-Amazon_n142_m197_bt25	142	197	0
4	0004_BED-Amazon_n171_m273_bt35	171	273	0
5	0005_BED-Amazon_n97_m171_bt28	97	171	0
6	0006_BED-Amazon_n133_m255_bt35	133	255	0
7	0007_BED-Amazon_n133_m261_bt34	133	261	0
8	0008_BED-Amazon_n153_m231_bt39	153	231	0
9	0009_BED-Amazon_n190_m296_bt37	190	296	0
10	0010_BED-Amazon_n112_m224_bt26	112	224	0
11	0011_BED-Amazon_n160_m240_bt30	160	240	0
12	0012_BED-Amazon_n182_m284_bt31	182	284	0
13	0013_BED-Amazon_n151_m219_bt28	151	219	0
14	0014_BED-Amazon_n175_m281_bt40	175	281	0
15	0015_BED-Amazon_n159_m255_bt27	159	255	0
16	0016_BED-Amazon_n108_m208_bt29	108	208	0
17	0017_BED-Amazon_n111_m257_bt33	111	257	0
18	0018_BED-Amazon_n111_m228_bt29	111	228	0
19	0019_BED-Amazon_n198_m265_bt35	198	265	0
20	0020_BED-Amazon_n119_m235_bt26	119	235	0
21	0021_BED-Amazon_n91_m184_bt29	91	184	0
22	0022_BED-Amazon_n136_m252_bt28	136	252	0
23	0023_BED-Amazon_n102_m203_bt23	102	203	0
24	0024_BED-Amazon_n101_m175_bt27	101	175	0
25	0025_BED-Amazon_n163_m265_bt40	163	265	0
26	0026_BED-Amazon_n168_m251_bt31	168	251	0
27	0027_BED-Amazon_n166_m231_bt26	166	231	0
28	0028_BED-Amazon_n133_m268_bt29	133	268	0
29	0029_BED-Amazon_n154_m243_bt31	154	243	0
30	0030_BED-Amazon_n205_m269_bt32	205	269	0
31	0031_BED-Amazon_n189_m272_bt38	189	272	0
32	0032_BED-Amazon_n147_m217_bt28	147	217	0
33	0033_BED-Amazon_n151_m179_bt29	151	179	0
34	0034_BED-Amazon_n176_m228_bt27	176	228	0
35	0035_BED-Amazon_n101_m229_bt29	101	229	0
36	0036_BED-Amazon_n200_m270_bt29	200	270	0
37	0037_BED-Amazon_n164_m279_bt34	164	279	0
38	0038_BED-Amazon_n147_m261_bt35	147	261	0
39	0039_BED-Amazon_n153_m253_bt28	153	253	0
40	0040_BED-Amazon_n122_m177_bt22	122	177	0
41	0041_BED-Amazon_n158_m208_bt29	158	208	0
42	0042_BED-Amazon_n122_m208_bt28	122	208	0
43	0043_BED-Amazon_n136_m250_bt33	136	250	0
44	0044_BED-Amazon_n120_m205_bt25	120	205	0
45	0045_BED-Amazon_n155_m213_bt39	155	213	0
46	0046_BED-Amazon_n117_m202_bt23	117	202	0
47	0047_BED-Amazon_n144_m222_bt32	144	222	0
48	0048_BED-Amazon_n135_m226_bt28	135	226	0
49	0049_BED-Amazon_n120_m192_bt35	120	192	0
50	0050_BED-Amazon_n122_m230_bt30	122	230	0
51	0051_BED-Amazon_n95_m166_bt27	95	166	0
52	0052_BED-Amazon_n162_m247_bt34	162	247	0
53	0053_BED-Amazon_n160_m275_bt45	160	275	0
54	0054_BED-Amazon_n140_m219_bt26	140	219	0
55	0055_BED-Amazon_n102_m219_bt23	102	219	0
56	0056_BED-Amazon_n137_m242_bt27	137	242	0
57	0057_BED-Amazon_n122_m241_bt33	122	241	0
58	0058_BED-Amazon_n166_m232_bt29	166	232	0
59	0059_BED-Amazon_n119_m231_bt35	119	231	0
60	0060_BED-Amazon_n77_m182_bt25	77	182	0
61	0061_BED-Amazon_n93_m229_bt35	93	229	0
62	0062_BED-Amazon_n174_m284_bt30	174	284	0
63	0063_BED-Amazon_n71_m171_bt29	71	171	0
64	0064_BED-Amazon_n106_m206_bt26	106	206	0
65	0065_BED-Amazon_n197_m271_bt28	197	271	0
66	0066_BED-Amazon_n154_m249_bt31	154	249	0
67	0067_BED-Amazon_n146_m189_bt26	146	189	0
68	0068_BED-Amazon_n177_m275_bt38	177	275	0
69	0069_BED-Amazon_n157_m235_bt24	157	235	0
70	0070_BED-Amazon_n147_m231_bt31	147	231	0
71	0071_BED-Amazon_n111_m254_bt27	111	254	0
72	0072_BED-Amazon_n176_m252_bt40	176	252	0
73	0073_BED-Amazon_n106_m271_bt32	106	271	0
74	0074_BED-Amazon_n133_m236_bt31	133	236	0
75	0075_BED-Amazon_n162_m237_bt27	162	237	0
76	0076_BED-Amazon_n149_m231_bt34	149	231	0
77	0077_BED-Amazon_n137_m265_bt33	137	265	0
78	0078_BED-Amazon_n118_m228_bt31	118	228	0
79	0079_BED-Amazon_n104_m228_bt31	104	228	0
80	0080_BED-Amazon_n126_m234_bt26	126	234	0
81	0081_BED-Amazon_n152_m233_bt34	152	233	0
82	0082_BED-Amazon_n111_m252_bt44	111	252	0
83	0083_BED-Amazon_n112_m187_bt26	112	187	0
84	0084_BED-Amazon_n143_m227_bt26	143	227	0
85	0085_BED-Amazon_n206_m267_bt30	206	267	0
86	0086_BED-Amazon_n127_m203_bt30	127	203	0
87	0087_BED-Amazon_n92_m197_bt34	92	197	0
88	0088_BED-Amazon_n139_m225_bt28	139	225	0
89	0089_BED-Amazon_n152_m215_bt30	152	215	0
90	0090_BED-Amazon_n133_m247_bt28	133	247	0
91	0091_BED-Amazon_n160_m252_bt29	160	252	0
92	0092_BED-Amazon_n152_m255_bt26	152	255	0
93	0093_BED-Amazon_n132_m231_bt33	132	231	0
94	0094_BED-Amazon_n164_m222_bt24	164	222	0
95	0095_BED-Amazon_n96_m186_bt42	96	186	0
96	0096_BED-Amazon_n151_m238_bt36	151	238	0
97	0097_BED-Amazon_n107_m238_bt33	107	238	0
98	0098_BED-Amazon_n175_m278_bt32	175	278	0
99	0099_BED-Amazon_n164_m247_bt32	164	247	0
100	0100_BED-Amazon_n170_m242_bt31	170	242	0
101	0101_BED-Amazon_n155_m229_bt33	155	229	0
102	0102_BED-Amazon_n104_m243_bt33	104	243	0
103	0103_BED-Amazon_n173_m234_bt30	173	234	0
104	0104_BED-Amazon_n183_m258_bt31	183	258	0
105	0105_BED-Amazon_n183_m269_bt29	183	269	0
106	0106_BED-Amazon_n150_m229_bt27	150	229	0
107	0107_BED-Amazon_n95_m230_bt39	95	230	0
108	0108_BED-Amazon_n154_m242_bt34	154	242	0
109	0109_BED-Amazon_n151_m231_bt21	151	231	0
110	0110_BED-Amazon_n181_m258_bt30	181	258	0
111	0111_BED-Amazon_n152_m257_bt35	152	257	0
112	0112_BED-Amazon_n184_m285_bt33	184	285	0
113	0113_BED-Amazon_n158_m219_bt32	158	219	0
114	0114_BED-Amazon_n145_m197_bt32	145	197	0
115	0115_BED-Amazon_n86_m190_bt27	86	190	0
116	0116_BED-Amazon_n128_m205_bt26	128	205	0
117	0117_BED-Amazon_n135_m200_bt28	135	200	0
118	0118_BED-Amazon_n144_m223_bt35	144	223	0
119	0119_BED-Amazon_n170_m271_bt28	170	271	0
120	0120_BED-Amazon_n186_m235_bt34	186	235	0
121	0121_BED-Amazon_n146_m199_bt28	146	199	0
122	0122_BED-Amazon_n80_m211_bt23	80	211	0
123	0123_BED-Amazon_n163_m228_bt34	163	228	0
124	0124_BED-Amazon_n126_m218_bt30	126	218	0
125	0125_BED-Amazon_n101_m199_bt29	101	199	0
126	0126_BED-Amazon_n160_m270_bt27	160	270	0
127	0127_BED-Amazon_n123_m210_bt32	123	210	0
128	0128_BED-Amazon_n164_m263_bt40	164	263	0
129	0129_BED-Amazon_n142_m216_bt27	142	216	0
130	0130_BED-Amazon_n142_m212_bt26	142	212	0
131	0131_BED-Amazon_n131_m244_bt32	131	244	0
132	0132_BED-Amazon_n175_m241_bt30	175	241	0
133	0133_BED-Amazon_n139_m212_bt29	139	212	0
134	0134_BED-Amazon_n121_m167_bt26	121	167	0
135	0135_BED-Amazon_n137_m232_bt32	137	232	0
136	0136_BED-Amazon_n169_m265_bt28	169	265	0
137	0137_BED-Amazon_n153_m236_bt26	153	236	0
138	0138_BED-Amazon_n94_m215_bt35	94	215	0
139	0139_BED-Amazon_n170_m277_bt33	170	277	0
140	0140_BED-Amazon_n144_m256_bt39	144	256	0
141	0141_BED-Amazon_n178_m297_bt37	178	297	0
142	0142_BED-Amazon_n118_m197_bt28	118	197	0
143	0143_BED-Amazon_n174_m262_bt34	174	262	0
144	0144_BED-Amazon_n199_m269_bt31	199	269	0
145	0145_BED-Amazon_n154_m232_bt28	154	232	0
146	0146_BED-Amazon_n148_m262_bt36	148	262	0
147	0147_BED-Amazon_n133_m272_bt35	133	272	0
148	0148_BED-Amazon_n141_m248_bt28	141	248	0
149	0149_BED-Amazon_n112_m226_bt32	112	226	0
150	0150_BED-Amazon_n122_m210_bt27	122	210	0
151	0151_BED-Amazon_n70_m191_bt29	70	191	0
152	0152_BED-Amazon_n142_m203_bt26	142	203	0
153	0153_BED-Amazon_n120_m230_bt45	120	230	0
154	0154_BED-Amazon_n168_m251_bt29	168	251	0
155	0155_BED-Amazon_n147_m203_bt26	147	203	0
156	0156_BED-Amazon_n157_m250_bt29	157	250	0
157	0157_BED-Amazon_n157_m225_bt37	157	225	0
158	0158_BED-Amazon_n131_m210_bt27	131	210	0
159	0159_BED-Amazon_n114_m217_bt30	114	217	0
160	0160_BED-Amazon_n78_m241_bt29	78	241	0
161	0161_BED-Amazon_n131_m245_bt30	131	245	0
162	0162_BED-Amazon_n115_m226_bt26	115	226	0
163	0163_BED-Amazon_n151_m265_bt29	151	265	0
164	0164_BED-Amazon_n128_m186_bt26	128	186	0
165	0165_BED-Amazon_n151_m212_bt33	151	212	0
166	0166_BED-Amazon_n141_m264_bt35	141	264	0
167	0167_BED-Amazon_n49_m198_bt31	49	198	0
168	0168_BED-Amazon_n138_m195_bt35	138	195	0
169	0169_BED-Amazon_n73_m232_bt30	73	232	0
170	0170_BED-Amazon_n174_m243_bt39	174	243	0
171	0171_BED-Amazon_n162_m223_bt25	162	223	0
172	0172_BED-Amazon_n172_m288_bt34	172	288	0
173	0173_BED-Amazon_n169_m253_bt30	169	253	0
174	0174_BED-Amazon_n172_m260_bt27	172	260	0
175	0175_BED-Amazon_n154_m235_bt24	154	235	0
176	0176_BED-Amazon_n147_m170_bt43	147	170	0
177	0177_BED-Amazon_n123_m264_bt36	123	264	0
178	0178_BED-Amazon_n92_m248_bt34	92	248	0
179	0179_BED-Amazon_n143_m283_bt36	143	283	0
180	0180_BED-Amazon_n146_m190_bt28	146	190	0
181	0181_BED-Amazon_n151_m267_bt35	151	267	0
182	0182_BED-Amazon_n138_m204_bt29	138	204	0
183	0183_BED-Amazon_n161_m242_bt33	161	242	0
184	0184_BED-Amazon_n154_m197_bt23	154	197	0
185	0185_BED-Amazon_n148_m259_bt33	148	259	0
186	0186_BED-Amazon_n179_m295_bt31	179	295	0
187	0187_BED-Amazon_n172_m261_bt32	172	261	0
188	0188_BED-Amazon_n172_m272_bt34	172	272	0
189	0189_BED-Amazon_n131_m230_bt33	131	230	0
190	0190_BED-Amazon_n137_m224_bt30	137	224	0
191	0191_BED-Amazon_n135_m202_bt26	135	202	0
192	0192_BED-Amazon_n177_m263_bt25	177	263	0
193	0193_BED-Amazon_n120_m259_bt34	120	259	0
194	0194_BED-Amazon_n124_m229_bt41	124	229	0
195	0195_BED-Amazon_n172_m255_bt30	172	255	0
196	0196_BED-Amazon_n115_m235_bt34	115	235	0
197	0197_BED-Amazon_n156_m201_bt30	156	201	0
198	0198_BED-Amazon_n214_m280_bt38	214	280	0
199	0199_BED-Amazon_n170_m276_bt28	170	276	0
200	0200_BED-Amazon_n193_m277_bt39	193	277	0
201	0201_BED-Amazon_n152_m287_bt39	152	287	0
202	0202_BED-Amazon_n163_m215_bt33	163	215	0
203	0203_BED-Amazon_n118_m204_bt33	118	204	0
204	0204_BED-Amazon_n183_m231_bt26	183	231	0
205	0205_BED-Amazon_n130_m227_bt35	130	227	0
206	0206_BED-Amazon_n74_m197_bt31	74	197	0
207	0207_BED-Amazon_n145_m232_bt30	145	232	0
208	0208_BED-Amazon_n158_m209_bt35	158	209	0
209	0209_BED-Amazon_n102_m208_bt28	102	208	0
210	0210_BED-Amazon_n162_m247_bt29	162	247	0
211	0211_BED-Amazon_n156_m229_bt33	156	229	0
212	0212_BED-Amazon_n94_m172_bt26	94	172	0
213	0213_BED-Amazon_n197_m255_bt30	197	255	0
214	0214_BED-Amazon_n165_m265_bt28	165	265	0
215	0215_BED-Amazon_n162_m245_bt25	162	245	0
216	0216_BED-Amazon_n172_m204_bt33	172	204	0
217	0217_BED-Amazon_n175_m280_bt32	175	280	0
218	0218_BED-Amazon_n126_m193_bt29	126	193	0
219	0219_BED-Amazon_n156_m242_bt35	156	242	0
220	0220_BED-Amazon_n179_m291_bt33	179	291	0
221	0221_BED-Amazon_n138_m235_bt33	138	235	0
222	0222_BED-Amazon_n162_m251_bt35	162	251	0
223	0223_BED-Amazon_n165_m279_bt33	165	279	0
224	0224_BED-Amazon_n74_m203_bt41	74	203	0
225	0225_BED-Amazon_n83_m220_bt24	83	220	0
226	0226_BED-Amazon_n141_m208_bt23	141	208	0
227	0227_BED-Amazon_n173_m255_bt29	173	255	0
228	0228_BED-Amazon_n166_m261_bt29	166	261	0
229	0229_BED-Amazon_n123_m235_bt32	123	235	0
230	0230_BED-Amazon_n174_m245_bt31	174	245	0
231	0231_BED-Amazon_n183_m274_bt31	183	274	0
232	0232_BED-Amazon_n144_m236_bt33	144	236	0
233	0233_BED-Amazon_n130_m190_bt28	130	190	0
234	0234_BED-Amazon_n197_m271_bt31	197	271	0
235	0235_BED-Amazon_n146_m213_bt38	146	213	0
236	0236_BED-Amazon_n157_m241_bt32	157	241	0
237	0237_BED-Amazon_n148_m258_bt29	148	258	0
238	0238_BED-Amazon_n146_m236_bt26	146	236	0
239	0239_BED-Amazon_n105_m234_bt33	105	234	0
240	0240_BED-Amazon_n177_m270_bt24	177	270	0
241	0241_BED-Amazon_n163_m239_bt27	163	239	0
242	0242_BED-Amazon_n154_m238_bt27	154	238	0
243	0243_BED-Amazon_n145_m230_bt37	145	230	0
244	0244_BED-Amazon_n139_m264_bt39	139	264	0
245	0245_BED-Amazon_n197_m266_bt28	197	266	0
246	0246_BED-Amazon_n172_m243_bt25	172	243	0
247	0247_BED-Amazon_n123_m259_bt30	123	259	0
248	0248_BED-Amazon_n156_m253_bt44	156	253	0
249	0249_BED-Amazon_n169_m256_bt33	169	256	0
250	0250_BED-Amazon_n196_m271_bt34	196	271	0
251	0251_BED-Amazon_n144_m205_bt32	144	205	0
252	0252_BED-Amazon_n143_m210_bt28	143	210	0
253	0253_BED-Amazon_n103_m252_bt34	103	252	0
254	0254_BED-Amazon_n104_m243_bt34	104	243	0
255	0255_BED-Amazon_n171_m260_bt36	171	260	0
256	0256_BED-Amazon_n185_m268_bt32	185	268	0
257	0257_BED-Amazon_n185_m298_bt38	185	298	0
258	0258_BED-Amazon_n184_m280_bt31	184	280	0
259	0259_BED-Amazon_n111_m251_bt32	111	251	0
260	0260_BED-Amazon_n146_m223_bt27	146	223	0
261	0261_BED-Amazon_n180_m243_bt43	180	243	0
262	0262_BED-Amazon_n61_m170_bt25	61	170	0
263	0263_BED-Amazon_n183_m235_bt36	183	235	0
264	0264_BED-Amazon_n80_m206_bt26	80	206	0
265	0265_BED-Amazon_n158_m224_bt25	158	224	0
266	0266_BED-Amazon_n143_m237_bt27	143	237	0
267	0267_BED-Amazon_n128_m238_bt29	128	238	0
268	0268_BED-Amazon_n103_m190_bt29	103	190	0
269	0269_BED-Amazon_n89_m157_bt25	89	157	0
270	0270_BED-Amazon_n143_m271_bt31	143	271	0
271	0271_BED-Amazon_n69_m166_bt23	69	166	0
272	0272_BED-Amazon_n143_m204_bt30	143	204	0
273	0273_BED-Amazon_n152_m235_bt29	152	235	0
274	0274_BED-Amazon_n47_m165_bt28	47	165	0
275	0275_BED-Amazon_n145_m196_bt24	145	196	0
276	0276_BED-Amazon_n147_m252_bt38	147	252	0
277	0277_BED-Amazon_n157_m244_bt27	157	244	0
278	0278_BED-Amazon_n56_m172_bt26	56	172	0
279	0279_BED-Amazon_n173_m273_bt31	173	273	0
280	0280_BED-Amazon_n96_m279_bt32	96	279	0
281	0281_BED-Amazon_n87_m248_bt32	87	248	0
282	0282_BED-Amazon_n171_m221_bt29	171	221	0
283	0283_BED-Amazon_n148_m226_bt29	148	226	0
284	0284_BED-Amazon_n119_m231_bt31	119	231	0
285	0285_BED-Amazon_n140_m179_bt29	140	179	0
286	0286_BED-Amazon_n152_m212_bt28	152	212	0
287	0287_BED-Amazon_n85_m214_bt45	85	214	0
288	0288_BED-Amazon_n155_m272_bt34	155	272	0
289	0289_BED-Amazon_n105_m225_bt43	105	225	0
290	0290_BED-Amazon_n144_m236_bt28	144	236	0
291	0291_BED-Amazon_n162_m218_bt24	162	218	0
292	0292_BED-Amazon_n162_m258_bt37	162	258	0
293	0293_BED-Amazon_n84_m271_bt34	84	271	0
294	0294_BED-Amazon_n183_m267_bt32	183	267	0
295	0295_BED-Amazon_n87_m214_bt30	87	214	0
296	0296_BED-Amazon_n78_m214_bt35	78	214	0
297	0297_BED-Amazon_n86_m245_bt30	86	245	0
298	0298_BED-Amazon_n112_m242_bt30	112	242	0
299	0299_BED-Amazon_n59_m206_bt26	59	206	0
300	0300_BED-Amazon_n187_m284_bt31	187	284	0
301	0301_BED-Amazon_n224_m292_bt27	224	292	0
302	0302_BED-Amazon_n165_m258_bt35	165	258	0
303	0303_BED-Amazon_n88_m205_bt25	88	205	0
304	0304_BED-Amazon_n107_m246_bt32	107	246	0
305	0305_BED-Amazon_n130_m263_bt34	130	263	0
306	0306_BED-Amazon_n155_m246_bt25	155	246	0
307	0307_BED-Amazon_n172_m230_bt31	172	230	0
308	0308_BED-Amazon_n136_m290_bt35	136	290	0
309	0309_BED-Amazon_n159_m265_bt44	159	265	0
310	0310_BED-Amazon_n148_m223_bt27	148	223	0
311	0311_BED-Amazon_n135_m298_bt30	135	298	0
312	0312_BED-Amazon_n137_m279_bt35	137	279	0
313	0313_BED-Amazon_n151_m240_bt37	151	240	0
314	0314_BED-Amazon_n88_m218_bt33	88	218	0
315	0315_BED-Amazon_n181_m288_bt32	181	288	0
316	0316_BED-Amazon_n54_m173_bt23	54	173	0
317	0317_BED-Amazon_n127_m236_bt27	127	236	0
318	0318_BED-Amazon_n157_m258_bt30	157	258	0
319	0319_BED-Amazon_n132_m222_bt35	132	222	0
