instance,balance_load,total_vehicles,safe_vehicles,p_safe
3l_cvrp01_0,0.053743564232470654,6,6,1.0
3l_cvrp01_1,0.019601650790945162,4,4,1.0
3l_cvrp01_2,0.09773983900056515,5,3,0.6
3l_cvrp01_3,0.09621166254395887,5,3,0.6
3l_cvrp01_4,0.0773308689062344,6,6,1.0
3l_cvrp01_5,0.04815704077769116,5,5,1.0
3l_cvrp01_6,0.019601650790945165,4,4,1.0
3l_cvrp01_7,0.0581296760844073,5,5,1.0
3l_cvrp01_8,0.09543777212962522,5,3,0.6
3l_cvrp01_9,0.04429735353570259,5,5,1.0
3l_cvrp02_0,0.10075632442395882,6,3,0.5
3l_cvrp02_1,0.1312845160928073,6,3,0.5
3l_cvrp02_2,0.120204104869324,6,4,0.6666666666666666
3l_cvrp02_3,0.12030553907272307,6,4,0.6666666666666666
3l_cvrp02_4,0.11460038614099993,6,3,0.5
3l_cvrp02_5,0.10181062123808297,6,4,0.6666666666666666
3l_cvrp02_6,0.13144132973550995,6,4,0.6666666666666666
3l_cvrp02_7,0.12684446500635557,6,4,0.6666666666666666
3l_cvrp02_8,0.12311585135903924,6,4,0.6666666666666666
3l_cvrp02_9,0.11780768679319055,6,4,0.6666666666666666
3l_cvrp03_0,0.09974813575899483,6,5,0.8333333333333334
3l_cvrp03_1,0.05504794189380313,6,5,0.8333333333333334
3l_cvrp03_2,0.06668875525475693,6,6,1.0
3l_cvrp03_3,0.06668875525475693,6,6,1.0
3l_cvrp03_4,0.0612557228083959,6,6,1.0
3l_cvrp03_5,0.071569240550951,6,6,1.0
3l_cvrp03_6,0.11397229687156056,6,4,0.6666666666666666
3l_cvrp03_7,0.08846425896318316,6,5,0.8333333333333334
3l_cvrp03_8,0.07047482148115407,6,6,1.0
3l_cvrp03_9,0.04463605398033298,6,6,1.0
3l_cvrp04_0,0.14985608867905292,7,4,0.5714285714285714
3l_cvrp04_1,0.11174482452831556,7,5,0.7142857142857143
3l_cvrp04_2,0.0948389160310695,7,5,0.7142857142857143
3l_cvrp04_3,0.10047384542150266,7,5,0.7142857142857143
3l_cvrp04_4,0.11032271329305247,7,5,0.7142857142857143
3l_cvrp04_5,0.14516691040093338,7,4,0.5714285714285714
3l_cvrp04_6,0.11090904062891875,7,5,0.7142857142857143
3l_cvrp04_7,0.14151326822611845,7,4,0.5714285714285714
3l_cvrp04_8,0.1219370649558122,7,5,0.7142857142857143
3l_cvrp04_9,0.15703815389644574,7,4,0.5714285714285714
3l_cvrp05_0,0.1263553479258015,8,6,0.75
