instance,balance_load,total_vehicles,safe_vehicles,p_safe
3l_cvrp01,0.06102510787925457,5.0,4.4,0.8800000000000001
3l_cvrp02,0.11881708247319914,6.0,3.7,0.6166666666666667
3l_cvrp03,0.07385459828178895,6.0,5.5,0.9166666666666667
3l_cvrp04,0.12438008260612217,7.0,4.6,0.6571428571428571
3l_cvrp05,0.08705790441257001,7.3,6.0,0.8267857142857142
3l_cvrp06,0.0838191863792523,7.0,5.3,0.7571428571428571
3l_cvrp07,0.06417341684361468,8.0,5.0,0.625
3l_cvrp08,0.10158738555587658,7.6,4.9,0.6521825396825397
3l_cvrp09,0.10301761809120288,10.0,8.1,0.8100000000000002
3l_cvrp10,0.07905236432267312,9.8,8.0,0.8177777777777779
3l_cvrp11,0.10736410192210459,10.0,4.8,0.4800000000000001
3l_cvrp12,0.10333981983331506,11.5,8.9,0.7757575757575758
3l_cvrp13,0.10268024214205436,10.6,6.2,0.5907070707070705
3l_cvrp14,0.08778209083247743,11.0,9.1,0.8272727272727274
3l_cvrp15,0.07903662541748574,10.1,8.9,0.8827272727272726
3l_cvrp16,0.10816855663319698,12.3,10.2,0.828846153846154
3l_cvrp17,0.12676086298246866,15.9,11.2,0.7041666666666666
3l_cvrp18,0.08669125510904085,14.0,10.4,0.7428571428571429
3l_cvrp19,0.09646753356337726,17.0,11.0,0.6470588235294119
3l_cvrp20,0.08216965827313583,22.0,14.0,0.6363636363636365
3l_cvrp21,0.05077559652878981,21.0,12.0,0.5714285714285713
3l_cvrp22,0.05233759455473054,23.0,13.0,0.5652173913043478
3l_cvrp23,0.06876710006395623,22.0,17.5,0.7954545454545455
3l_cvrp24,0.06071230406156536,21.0,13.0,0.619047619047619
3l_cvrp25,0.047535177753851784,27.0,14.0,0.5185185185185184
3l_cvrp26,0.04794605394663053,29.0,21.0,0.7241379310344829
3l_cvrp27,0.05215693657465338,29.0,18.0,0.6206896551724138
